savjetodavno tijelo	advisory body
europska prometna politika	european transport policy
koplje za bacanje	javelin
koji ima rep	tailed
hpv infekcija	hpv infection
snimanje na magnetofon	tape recording
nastaniti se	settle
troSak distribucije	distribution cost
nastupati	perform
Sminka	paint
torzioni	twisted
poduzeGima	plants
tapecirati nam	upholster
inhibitori	inhibitors
politiCke zajednice	political communities
pravne znanosti	jurisprudence
usklaDivaC	sequencer
zemljano posuDe	earthenware
potroSaCi	consumers
torba za alat	toolkit
meduCvoriSno suCelje	network node interface
energetska vrijednost	energy value
fotosintetski aparat	photosynthetic apparatus
rezultati.	results.
neutronski uhvat	neutron capture
gvozdena spona	staple
okrunjen	crowned
pecati	fish
metrike kvalitete u koriStenju	quality in use metrics
paCe	duckling
sirena	siren
rutil	rutile
tehnologija wan	wan technology
koji ima svjedodžbu	certified
video reZim standardne rezolucije	normal video
parametar pridruZivanja grane	leaf initiated joint parameter
podmuklost	treachery
drvo za ogrjev	fuel wood
biti uvrijeDen	resent
duhovni madrigali	spiritual madrigals
vidikovac	lookout
schleswig-holstein	schleswig-holstein
pristojan	well-behaved
hormonsko	hormone
stupanj odziva	step response
telegrafski stup	telegraph post
logiCki zakoni	the laws of logic
izbjegla djeca	refugee children
pola koplja	half-staff
polimorfan	polymorphic
pakistan	pakistan
bacanje viska	plumbing
neprijateljski prema Zenama	misogynistic
Zivotinjski fond	animal resources
solo pjevaC	solo singer
osijeku	osijek
hobi	pastime
post-sezona	post-season
odavati se	indulge
praktiCar alternativne medicine	practitioner of alternative medicine
moCiti	wet
adekvatnost	adequacy
odgonetati	puzzle out
digitalna centrala	digital exchange
zagaDivaCi	pollutants
plesnih	dancing
velemlaZnjak	jumbo jet
nepostavljen	unlined
identiCne superdeformirane vrpce	identical superdeformed bands
apsorpcija uzrokovana oh ionima u optiCkom vlaknu	impurrtiy metal absorption
acethidroksam kiselina	acethydroxamic acid
spremnik podataka	data register
informacijska relevantnost	information relevance
pretragama	tests
barunica	baroness
tatarski jezik	tartar
propisati	regulate
vraGanje kodirane poruke u prvotni oblik	decoder failure
izvanjski	extern
predgorje	ness
parametar stanja topologije	topology state parameter
Strample	tights
promatrati	watch
zagasita boja	tan
slomljeni parovi	broken pairs
hipotetski	nominally
rondela	roundel
djeCju knjiZevnost	children's literature
na dobru glasu	reputable
kurva na cesti	pavement princess
antibakterijsko djelovanje	antibacterial activity
pruZiti	to extend
ocijeniti podobnost	to evaluate the eligibility
satiriCar	satirist
zahtjev za adresu fiziCkog prosljeDivanja (poruka)	physical forwarding address request
naGuliti usi	cock one's ears
sveden	arching
status berlina	status of berlin
amidini	amidines
signalizacijski prilagodni sloj atm	signaling adaptation atm layer
pogibeljan	dangerous
vlast	sway
laku noG	good night
sniZenje razine podzemnih voda	lowering of groundwater level
bezZivotan	lackluster
asocijativni potencijal	associatian potential
njeguju	nurture
nepoduCen	untrained
ekosustav	ecosystem
zadrZati pravo	to reserve the right
jaSuGi	astride
pomodarka	trendy
superkorisnik	superuser
ako  bude zatraZeno	if so requested
koji nije odobren slobodnim pismom	unchartered
znaCaj	weight
poljoprivredna suradnja	cooperation on agriculture
abdicirati	abdicate
lc-displej	lc-display
repatrijacija kapitala	repatriation of capital
lijenCina	truant
lumbago	lumbago
vanjska nadleZnost zajednice	ec external competence
osiguravati	reassure
granice razluCivanja meg izvora	limits of meg source resolution
ekspresija onkogena	oncogene expression
ponovo izgraditi	rebuild
nestao u akciji	missing-in-action
eksporirati	export
po ruka zavrSetka veze	release message
stopa isplata	rate of payment
mahnitanje	ecstasy
peCuh	pecs
vrsta limuna	lime
brod koji vozi poStu	post boat
ukoSen	slanted
bez osobitosti	nad
torbu	handbag
iskrenost	sincerity
opSirnost	prolixity
boginje	smallpox
strukturni fondovi	structural funds
samodisciplina	self discipline
lomna Zilavost	fracture toughness
vojaCenje	enrolment
sa dva kuta	biangular
strogi zahtjev	firm requirement
sindikat drZavnih sluZbenika	union of civil servants
opcionalni parametri	optional parameters
nenaplaGeni raCuni	receivables
nesiguran	wonky
vatrenost	spunk
raspeGe	crucifixion
otuDenje	divesture
nervirati se	get nervous
protega	dimension
zemljina kugla	globe
viSekorisniCko otkrivanje	multiuser detection
kreditni rejting	credit rating
servisni	service
raskriZje	intersection
gigabitni ethernet	gigabit ethernet
kilt	kilt
pastorka	step daughter
kilo	kilo
internet protokol	internet protocol
kila	rupture
upasti	punctuate
prozirnice	overhead transparencies
zvukovni odziv	audio response
pohotnost	voluptuousness
promicanje demokracije	promoting democracy
servomehanizam	servomechanism
odrediti boju toCke	get dot color
skupom	gathering
sustav upozorenja	warning system
gladiti	touch up
blog	blog
novinari	journalists
izdvajanje Zeljenoga frekvencijskog podruCja	filtering
utvrditi zakonom	establish by law
ekspresija	expression
blok	unit
pelagiCke populacije	pelagic population
holding	holding
sustav Sifriranja sa savrSenom zaStitom	perfectly secure cipher system
uvlaCenje kabela	cable pulling
grayev znakovnik	gray code
ultrahladne molekule	ultracold molecules
smrtni	mortal
ediciona metodika	editing methodology
modemska kartica	modem card
brCkati	puddle
notifikacija	notification
listanje	scrolling
nepredvidljiv	unpredictable
sustav linearnog voDenja	linear control system
klauzula cut throught	cut throught clause
dementan	demented
medicinska sestra	nurse
rijeka raSa	raSa river
introspektivan	introspective
prospojna mreZa	switching network
komfor	conveniences
ralica	plough
ustav	statute
katastrofalan	disastrous
visoku divljaC	big game
obalna cirkulacija	sea breeze
turci	turks
dolina rajne	rhine valley
madrid	madrid
sredozemna regija ez-a	ec mediterranean region
cvrCati	splutter
upravljanje listama	list handling
kombinacijske tabele	kombination tabele
institut londonskih osiguravatelja	institute of london underwriters
zajedniCka skupStina acp-ez-a	acp-ec joint assembly
stabilnost gibanja	stability of motion
nacionalni odbor za televizijske norme (ameriCki)	national television standards committee
konj koji dobro gazi	stepper
referentni izvor takta sustava	system clock
konoba	taverns
zamarati	tire
propisana hrana	diet
privremeni sporazum ez-a	ec interim agreement
vezati petljom	lariat
zahtjev za svjedoCenjem pred	request for appearance before
predveCerje	eve
pletena zaStita	braided cable
stope	rGs
Zivotinjski rezervoari	animal reservoirs
stopa	rate
izvanzemaljski Sum	extraterrestrial noise
ispaliti	fire off
oCistiti od koStica	pit
inverzija podataka	data inversion
isto tako ne	neither
rimskog	roman
tijek utakmice	course of the game
pogreSno umetnut	misinserted
okruZni	regional
plesaC na uZetu	acrobat
probna voZnja	trial run
skrutiti	consolidate
filantropija	philanthropy
filantropije	philanthropy
kuGevlasnica	landlady
cmizdrav	puling
menadžerski ugovor	managerial contract
poseban naCin vezanja vrpce	love knot
zagaDivanje mora	marine pollution
fazne transformacije	phase transformations
klizni prozor	slide window
nezaposleno stanovniStvo	non-working population
cilmerizacija	zillmerisation
samo Clanovi	members only
sloZnost	solidarity
literat	writer
džepni komunikator	personal digital assistant
okretomjer	tachometer
potvrda prijama podataka	data acknowledgement
naredba umetanja objekta	insert object command
muCnina	sickness
duZina-masa	length-weight
prehrambeni	trophic
decnet	decision value
momCad domaGin	home team
propisi	rules
brzi algoritam za izraCunavanje transformacije val	pyramid algorithm
pribavljaC	provider
mealyev konaCni automat	mealy state machine
kozmetiCar	beautician
Zivotno zadovoljstvo	life satisfaction
orbitalan	orbital
jadnik	wretch
hagiotopografija	hagiotopography
buvljak	flea market
impresija	impression
ukupne primjese	foreign matters
zaStita m e m o rij e .zaStita od adresiranja dije	memory guard
teZinska funkcija	weighting function
retorzija	retortion
istovrijedan	equivalent
jodni	iodine
pokvariti (se)	taint
orah pekan	pecan nut
pomisliti	think
uzburkano more	heavy sea
revolveraS	gunslinger
geometrijska nepromjenjivost	geometrical invariability
kritizirati	maul
industrijsko bilje	industrial crops
atmosferska perspektiva	atmospheric perspective
letvi	bars
tegleGa Zivotinja	draught animal
provjera jekom	echo check
sunCanica	sunstroke
madžarski	hungarian
estetska kultura	esthetic culture
s istoka	easterly
viSestruki ogib (na bridovima)	multiple edge diffraction
rejting	rating
zadrZan zbog ispitivanja	detained
nebularni model	nebular model
priznat	recognized
cijena vrijednosnih papira	price of securities
dentinska preosjetljivost	dentin hypersensitivity
razaznati	discern
Zutilovka	gorse
kapacitet zapornog sloja	depletion layer capacity
meDunarodna organizacija za normizaciju	international organization for standardization
elektrokinetiCki potencijal vlakana	fibre electrokinetic potential
zabavljati se	revel
dobrotvor	philanthropist
atribuiranje	attribution
vratnica	goalpost
lawrencij	lawrencium
alati za oblikovanje	forming tools
socijalni konstruktivizam	social constructivism
osamljenik	recluse
grofica	countess
teSke	severe
tematizirati	thematize
perikopa	pericope
ionski	ionic
satnica	schedule
avionom	by airplane
mjerama	measures
sudariti se	telescope
kompaktni disk- memorija za iSCitavanje	cd-rom
naduven	uppish
Cep za ispust	drainage plug
crniti se	blacken
kardiomiopatije	chardiomyopathies
digitalna simulacija	digital simulation
trostrani sastanak	tri-partite meeting
standardnom reZimu	standard mode
povoljna prilika	opportunity
oCigledan	visual
lokalna samouprava	local self-government
geografski informcijski sustavi	geographical information systems
Zica	wire
podupiranje	sustentation
borac s bikovima	bull-fighter
jarebica kamenjarka	rock partridge
trasa	track
hipabisalne stijene	hypabyssal rocks
monstranca	pyx
cjelokupnost	universality
trase	route
potrebne isprave	appropriate documents
bijelo jarbolno navigacijsko svijetlo	masthead light
stilistiCka analiza nebeletristiCkih djela	stylistic analysis of non-literary works
transverzalno-elektriCni	transverse electric
uspavanost	drowsiness
stepeniSte	staircase
veliki dalekozor	telescope
davali	given
masivno	solid
istek	maturity
biti sudac	refereed
crna plovka	common scoter
osvjetljenje reflektora	floodlighting
brodski radni Camac	jolly boat
matica hrvatska	matrix croatica
zbrojiti	total
promjenjiv	volatile
analogni podaci	analog data
osloboditi predrasuda	unbias
jeziCne prilagodbe	language adaptations
nosaC zrakoplova	aircraft carrier
oblik vrha pera	nib shape
kanal b	b channel
Zenske najlonke	tights
difenil	diphenyl
veliki vrC	tankard
kanal d	d channel (d-channel)
zrelo i nezrelo zrno soje	mature and immature soybean
ergonomija	ergonomy
kanal h	h-channel
broj bitova po bajtu	byte size
x-windows	x windows
ditiaciklodekan	dithiacyclodecane
glavno svojstvo	flavor
ukupna vrijednost	total value
tehniCkim	technical
rasuo	scattered
relativna	comparative
vapnenaCki	calcareus
piroklastiCne stijene	pyroclastic rocks
rasut	scattered
kumulativni obujam proizvodnje	cumulative production volume
metododika	methodology
relativno	relatively
zastavni Casnik	flag officer
trubadurskog	troubadours
osjetljivost na cijenu	price sensitivity
Carobnjak za prezentaciju na putu	pack and go wizard
Cajna Zlica	teaspoon
echinacea korjen	echinacea
sjedalo	siege
kuma	sponsor
govno	tibit
ukinuGa	abolished
bakren	cuprous
ukinuGe	suppression
skupljene	gathers
brzina uzimanja uzoraka	sampling rate
pokretljivi	active
zavrnut u lije	sinistral
far	light
neizbrisiva memorija	non-erasable memory
identitet sela	identity of a village
optimizacija zupCanog prijenosnika	optimization of the transmission gearbox
fah	bucket
ponovno koristiti	reuse
fao	fao
usitnjeno drvo	chipped wood
cimet	cinnamon
kucni rad	homeworking
nizozemlje	lowland
deblokiranje skupine linija	circuit group unblocking
bitna mapa	bitmap
biti sakriven	lurk
crteZ linijom	line art
rad u parovima	pairwork
fotoemisijski detektor	photoemissive detector
nadzornik naslova	title master
prelazne i zavrSne odredbe	sunset clause
tablica smrtnosti	life table
izopaCenje	sophistication
obljutaviti	pall
saznati	learn
sjaj	trappings
napiti se	inebriate
obor za ovce	sheepfold
buCa	pumpkin
biolog	naturalist
instrument trZiSta novca	money market instrument
tiskovne forme	printing forms
uzlazna veza (zemaljske postaje do satelita)	uplink
razbarija	fretwork
rastavljanje na Cinitelje	factoring
mikrosfere	microsphere
trening utakmica	practice match
svlaCenje	undressing
muzika	music
besposliCar	truant
karakterno ponaSanje	morality
od primatelja imenovan alternativni primatelj (mhs	recipient-designated alternate recipient
autotematiCnost	autothematicity
instinktivno	instinctively
ozon	ozone
ljudsko tijelo	human body
elektromehaniCka svojstva	electromechanical parameters
nesvjesno	unwittingly
radiotelevizijsko emitiranje	broadcasting
sirovine	raw materials
valovito kretanje	undulation
sirovina	raw material
nadlanica	back of hand
slaZem se	i agree
izdavanja	indicated
poliomino	polyomino
pozlijeDen	sore
izdavanje	publishing
osobenjak	oddity
mlijeCna bjelanCevina	milk protein
unajmljivanje  na otplatu	hire purchase
strnadica ostrugaS	lapland bunting
potrkalo	running dog
eksponiranje	exposure
GuSnuti	give a slap
svjestan	sensible
pradavan	immemorial
izletniCki	sightseeing
proSireni nadokvir	extended superframe
lakSa bolest	ailment
disco klub	disco
piskav	treble
glupi	stupid
glupo	densely
kanal obradbe ili prijenosa plave boje	blue channel
ruSilac	destroyer
seosko gospodarstvo sa svim zgradama	farmstead
originalna koncepcija plovila	original conception of vessels
donijeti akt	adopt an act
druStvena revizija	social audit
jednostrane diskete	single side
odrjeSenje	liberation
zakonima	laws
hipertekstualni oznaCni jezik	hypertext markup language
iznos	yield
miganje	winking
suCelje linijske postaje	line station interface
sabirni bazen	retaining reservoir
demonski	ghoulish
beznaCajan Covjek	squirt
oskvrnuGe	ravishment
reSetkasto kodirana modulacija	trellis coded modulation
Cegrtaljka	rattle
drenaZni ureDaj	bilge pumping plant
obavezati	oblige
proturefleksijsko oblaganje	antireflection coating
rjeSavaC	solver
program na strojnom jeziku	machine language program
plaSio	afraid
porezne obveze	tax burden
jurisprudencija	jurisprudence
prozraCno	ethereally
Sto je prije moguGe	as soon as possible
muzilica	milking machine
drago kamenje	jewelry
kapitalna opremljenost rada	capital equipment of labour
vaga za pisma	letter-balance
darovit	talented
centromerna nomenklatura	centromere nomenclature
obodu	margins
vrijeme prikupljanja (podataka)	slot time
terapijski	therapeutic
silniStvo	despotism
molekularni nanomagneti	molecular nanomagnets
preokretanje	turning
filmska glazba	soundtrack
operatori	operators
baze podataka	databses
na dva toCka	two-wheeled
specijalnost	specialization
cijena vrijednosnice uz promptnu isporuku	spot price
elektroniCku poStu	email
sustav za razvoj matrice	mastering system
crtanje	tracing
Zele	jelly
lipoprotein	lipoprotein
Zeli	wants
primati	receive
pohabati	wear off
ne dalje nego	above
udarna brzina	velocity
kolCiG	pin
sretno!	good luck!
kuZan	pestilential
predsjedniStvo vijeGa eu-a	eu council presidency
iskustveno utvrDivanje premije	experience rating
protoni	protons
ustroj	system
potomstvo	seed
okratoksini	ochratoxins
fenomeni	phenomena
elongacija	elongation
unutarnje nenatkriveno dvoriSte	patio
tvorniCar	manufacturer
satelitska sluZba digitalnog radija	satellite digital audio broadcasting
izvesti mlade	brood
dual	dual
nazupCati	scollop
lamelirani proizvodi	laminated windows
izraCunavanje zbroja	calculating sums
centrifugalni bistrilac ulja	lubricating oil purifier
CiSGenje (odbacivanjem)	pruning
imigracija	immigration
prednji desni smeCer	play-set hitter
lovaCkim	hunting
mllivnik	pterygoideus muscle
prednjaCenje	precedence
novac za troSenje	spending money
kremen	quartz
otkljuCati polje	unlock field
uskladiti poravnavanjem	align
podudarni plan pristupa za viSe sudionika (kriptog	concurrence scheme
spoj za uzemljenje	earthing bolt
elektriCni aparat	electrical apparatus
pravne razlike	legal differences
formalni jezici	formal languages
postaviti boju pozadine	set background color
uskladiStenje	warehousing
osamsto	eight hundreds
raspodijeljena transakcija	distributed transaction
oprema za Sifriranje podataka	data encryption equipment
plutonske stijene	plutonic rocks
ekoloSko modeliranje	ecological modelling
knjiZara	bookstore
geotermometrija	geothermometry
dijeljenje radnoga mjesta	job sharing
umanjiti u odreDenom razmjeru	scale down
zloupotreba prava	misuse of right
gotovo istodobno	near-real-time
rasprSni	scattered
polarimetar	polarimeter
ugraDuju	implanted
projiciran	projected
vjeverica	squirrels
novCana kompenzacija za devizno ujednaCivanje	monetary compensatory amount
podnevni	noonday
vjeverice	squirrels
teka	notebook
pobunjenik	rioter
komisija un-a	un commission
pozvati	to call
rjeSavanje	solving
poslovna banka	commercial bank
analiza svjetlovoda	optical fiber analysis
formiranje vodonosnika	aquifer formation
pod zemljom	underground
alternativne obveze	alternative obligations
hmelj (biljka)	hop
saski	saxon
gen potencjal	gene pool
odgovor na tuZbu	statement of defence
dovrSiti	terminate
Skolski hodnik	school corridor
decentralizirana proizvodnja	distributed generation
reaktivni ustavi	reactive constitutions
induciranje latentne strukture	induction of latent structure
u okviru	within the limit
hladnjak rasoline	brine cooler
preliti	wash over
zlokobno	fatefully
nepodesan za upotrebu	unhandiness
melanterit	melanterite
Supljine podzemne	cavities underground
saCuvali	preserve
snaha	sister in law
akreditiv s odgoDenim plaGanjem	deferred payment credit
prekrcaj sa broda na brod	transhipment
Cak StoviSe	nay
teleskopski	telescopic
nesmalaksao	unflagging
blok na traci	tape block
uvalica	slew
nazofilija	nasophila
razvrstan pod dva razliCita tarifna broja	classified in two separate headings
smolom impregnirani sloj tkanine (za povezivanje s	prepreg
pomagaC	supporter
kratkonosa jesetra	shortnose sturgeon
pravosudnih	justice
provoditi mjere	to maintain measures
poznat u svijetu	world famous
za Siroki razmak	wide range
bjeloruski	belarusian
unezvjeren	haggard
polimorfonuklearni leukocit	polymorphonuclear leukocyte
inovacije u nastavi	innovations in teaching
pijavica	usurer
osnutak uCiliSta u hrvatskoj	founding the colleges in croatia
osjetljiv na radioaktivno zagaDenje	sensitive to radioactive pollution
kontrola proizvodnje	production control
stilem	stylem
perspektivizacija	perspectivization
kratak kaput	pea jacket
kneZevina asturija	principality of asturias
zemljoposjedi	cathedral and collegiate chapters
budeGi nadu	promisingly
odvojen crticom	hyphenated
intraindividualne promjene u raspoloZenju	intraindividual mood changes
fotoelasticimetrija	photoelasticity
morski vuk	sea wolf
izmedju	between
audio frekvencija	audio frequency
kotrljati loptu	roll the ball
uzajamna ovisnost	interdependence
koliCina isparenja	rate of evaporation
bioloSka korozija	biological corrosion
na istom nivou	abreast
otkazivanje	cancellation
fotografa	photographs
republika argentina	republic of argentina
suprotno	vice versa
kaStelan	castellan
komandno mjesto	headquarter
zakonito prebivaliSte	legal domicile
trijeznost	sobriety
iza	uniStenja
jedinica za logaritamski omjer snaga ili napona	decibel
inicirati	initialize
kombinirana obrana	combined defense
umijeSan	sufficient
slikovni simbol	icon
metasemiotika	metasemiotics
narodna demokracija	people's democracy
integralni pristup istraZivanju	comprehensive approach in investigation
dugouh	lop eared
rad na dva radna mjesta	holding of two jobs
deklinacija	flexion
proksimalni tip pretilosti	abdominal obesity
navijati za nekoga	support
mjere potpore	supporting measures
puna stranica	full page
otvarati i zatvarati vrata	gate
veza glas-slovo	sound-letter connection
industijalizacija	industrialization
korisnik prijevoza	transport user
slijepo crijevo	cGcum
hrvata i srba	croats and serbs
uSGe rijeke	mouth
sigurnost hrane	food safety
nevrijedno	undeservingly
transpiracija	transpiration
fosfolipaza c	phospholipase c
utvrDivaC	shift lock
agregatna metoda	aggregate method
aksijalni protok	flow
informacijska struktura	information structure
republika fidži	republic of fiji
profit	profit
prijevozna sredstva	means of transport
povrSan	touch and go
bolesnici	patients
metoda karakteristika	method of characteristics
ubrizgavanje	spewing
neuspjeli poziv	call failure
devastirane	devastated
egzotika	exotic
zapeCeni Strukli	baked salty cheese strudel
devastirana	devastated
poplave	floods
kumulativni histogram	ogive
ratna Steta	war damage
poplava	torrent
buSaGa glava	drill bit
sustavan pristup	system approach
kriZni put	the way of cross
Siriti grijeh	transgress
biblioteCni potprogram	library routine
bez oCiju	eyeless
vizualna semiotika	visual semiotics
folkorno muziciranje	folklore music making
paradoksalan	paradoxical
suzdrZati se od glasanja	abstain from a vote
samopoimanje	self-concept
broja	numerous
ime domene	domain name
objektno orijentirano programiranje	object-oriented programming
domaGe fiskalno zakonodavstvo	domestic fiscal legislation
ispovijesti	confessions
zaStita od prenapona	overvoltage protection
nabavka opreme	equipment purchase
donja posuda	bottom case
vjeroispovijest	denomination
kanal s odsjeCcima	slotted channel
progib	sagging
neboraCki	non combatant
vrsta samostalne Skole	college
krvnik sjekirom	headsman
proSireno pamtilo	expanded memory
usmjerena antena	yagi uda
diplomatskim	diplomatic
isparivanje	evaporation
pravilo pet sekundi	five seconds rule
automatsko CiSGenje	auto clear
komunalni doprinosi	rates
indeks arhitekata	index of architects
prebacivanje poziva	call transfer
valjana analitiCka praksa	good analytical practices
goveDi gulaS	beef goulash
drZavljani	polity
uhvaGen na djelu	red-handed
gnjevan	rancorous
kuglasti ventil	ball valve
kriptodepresija	kryptodepresion
prokuhati	cook in boiling liquid
baciti sjenku	shade
pojedini sklopovi pokretnog ureDaja	loads
unuci	grand-children
ja sam budala	i am fool
raCunalni sustav za razmjenu poruka (informacija	bulletin board system
ispirati suDe	dish
hesenski	hessian
glinobeton	plastic concrete
postupak lokacijskog aZuriranja	location updating procedure
provedba prava	law enforcement
ured za priopGavanje	information office
protokoli proizvoDaCa	proprietary protocols
kultivacija	cultivation
croatian electricity trade union	hrvatski elektro-gospodarski sindikat
slabljenje	weakening
baterije	battery
civilna znanstvena istraZivanja	civil scientific research
ti sam	yourself
uzdignuti rub na palubi broda	fish plate
farmakoterapija	pharmacotherapy
suglasi	consented
naCini	methods
deetatizacija	deetatisation
tekuGinska kromatografija	liquid chromatography
Sirokopojasno suCelje izmeDu mreZa razliCitih oper	broadband inter - carrier interface
prekid skupStine	prorogation
skroman	unpretentious
eksplozivno punjenje	warhead
plan pristupa	concurrence scheme
hrapavost	surface roughness
nova stranica	new page
pluralizacija	pluralisation
ravnopravni sudionici	peer entities
obrijati se	shave
truleZ stabljike	stalk rot
duSevno stanje	spleen
nitroksidi	nitroxides
skraGeni kriZ	couped cross
odvodni jaz	tail race
nehigijenski	insanitary
modalitati izvrSenja djela	modalities of criminal offence
ontemska narativna figura	ontemic narrative figure
vrsta bitovno usmjerenog protokola	high-level data link control
muSketa	musket
crpsti (vodu iz broda)	bail
bilo koje vrste	of whatever kind
naftni proizvod	petroleum product
iznos u nacionalnoj valuti	amounts in the national currencies
sistem bodovanja svake izmjene udaraca	rally-point scoring system
salata potoCnica	water cress
raCunalo ustrojeno na znaCajkama neuronske mreZe	neurocomputer
spreCavanje i suzbijanje kriminala	preventing and combating crime
invertirati	reverse
gospodarske djelatnosti	economic activities
rumen	sanguine
miserly	jadno
dogodoseZne korelacije	long-range correlations
potrajati	take time
gaSenje	quenching
prebacivanje loptice	handoff
Zidovski	yiddish
jadno	squalidly
pjesmu	poem
dinamikom	dynamics
windows	windows
soba za lutku	doll's hose
buSotina	well
djeljivost	divisibility
uloZiti u pismo	enclose
alarm protiv provale	burglar alarm
pjesme	songs
principijelan	principled
pjesma	verse
afinitet	appetence
buSaGa dizalica	drawwork
prekriven Sumom	wooded
beZiCna inteligentna mreZa	wireless intelligent network
seoba	trek
smrCa	spuca
hladnjak ulja	oil cooler
rukovalac	operator
biti na oprezu	to be on the alert
sluCajno odabrati	randomize
sjediniti se	merge
utopiti	merge
periferni Zivci	peripheral nerves
pravnog fakulteta	faculty of law
izljeCivost	curableness
tkanina za koS	shirting
metvica	mynth
strukovna Skola	vocational school
glicinergiCni	glycine
otpremaC	conveyor
satelitsko navoDenje	satellite navigation
dokumenti priloZeni molbi	documents that accompany the request
riziCan	risky
dezinficijens kombiniranog sastava	desinfectant with combination of actives
krivulja	locus
aZurno	promptly
odstupanje izmeDu iskaza	discrepancy between the statements
konstanta rasprSenja	scattering constant
nadmoGni	uppermost
kvadraturni filtar	quadrature filter
rupa ili udubina na igraliStu golfa	divot
posredna centrala	tandem switching exchange
izdatak koji proizlazi iz obveza	liability outgoing
kljuC za prijavu	registration key
hir	whim
adresa kanala	channel address
hit	hit
zdraviji	healthier
kako da	how to
zahtjevi pri prijenosu razliCitih vrsta informacij	transmission of information requirements
koraba	kohlrabi
toCka minimuma	valley
kumCe	godson
plinski tanker za prijevoz plina max tlaka 18 kg/c	pressurized gas carrier
okretaC	rotator
listopad	october
tarantula	tarantula
potpun preokret	somersault
paralizirati	transfix
stavljanje nogu	footing
kubanskih	cuban
kopirna glodalica	duplicating milling machine
okvirno rebro	web frame
seizmometrijski	seismometrical
regularni izraz	regular expression
protekla studija	historical study
bareljef	bas relief
rastegnuti	overrach
okretan	swift
linija razlagan	trace
okretaj	revolution
harfa	harp
geoprometni poloZaj	geo-trafic position
sklonosti smeCera	hitter's tendencies
drZati se neCega	stick to
izlaz (vrata)	way out
kurva	whore
nesortiran	unsorted
izmjena topline	heat transfer
pruZanjem	rendering
sloboda miSljenja	freedom of opinion
spajanje cijevi	pipe connection
ureDaj za masovnu pohranu	mass storage device
odnosna zamjenica	relative
bark	barque
elektroniCka prezentacija	electronic presentation
kazneno djelo	offence
razmjeStaj kabela	cable spacing
brodska kuhinja	galley
autoritet u odgoju	authority in education
toCak	pulley
linijska konferencija	liner conference
toCan	unerring
gradska Zeljeznica	urban railways
deontologija	deontology
dosta	really
nastavnik konzervatorstva	conservation trainer
struCnjaka	experts
maC	sword
zatajenje motora	engine failing
Caj od peperminta	spearmint tea
vlasnike	owners
kontrolor knjiZenja	audit trails
jakobinstvo	jacobinism
djelatnik zajednice	community worker
potvrDivali	confirm
fotointerpretacija	photointerpretation
poveGanje plaGe	pay rise
silikat	silicate
usluga poziva u nuZdi	emergency call service
kontaminiran	contaminated
nadživjeti	survive
plasiranje novoga proizvoda	launching of a product
dodatak na unutraSnjoj margini	binding offset
organizacijski sustav	organizational system
poCetak priredbe	showtime
automatsko voDenje	self-guidance
koordinirani nadzor poziva	coordinated call monitoring
trasa ceste	alignment
ptice	birds
oralni hipoglikemizantni lijekovi	oral hypoglycemic agents
zaCuDeno	amazedly
glagoljski izvori	glagolitic sources
na regionalnoj razini	at regional level
zaStitna rjeSenja	protection
n	n
crnCuga	nigga
propisi o obradi podataka	data-processing law
nazadak	decline
podruCje pravorijeCnog suda	leet
kakvoGa plodova	fruit quality
seosko stanovniStvo	rural population
pristup s meDupohranom	buffered access
uzak trak zemlje	screed
bazalt	basalt
leksiCka praznina	lexical gap
socijalna geografija	social geography
slovCano	literally
zakljuCnik (lokalne mreZe)	terminator
obaziranje	retrospection
peron	platform
tiskovno srediSte	press center
zabrinut	worrying
u smislu	within the meaning of
Davolak	imp
rastavljiv	separable
provjera ispravnosti cesta	roadworthiness tests
inciziv	incisor
meDusobnog	mutual
usrdno moliti	importune
proSirena sabirnica isa	extended industry standard architecture
mehanizmi inhibicije	mechanisms of inhibition
granica (drZave)	frontier
bezbojan	colourless
inkorporiran	incorporated
prenapuCen	overcrowded
kompaktni disk s moguGnoSGu brisanja i pisanja	compact disc recordable
drZavni poredak	polity
teorija liCnosti	personality theory
zahvatiti binarnu datoteku	receive binary file
klauzula o iskljuCenju nuklearnih rizika	war exclusion clause
carina koja se primjenjuje na	duty applicable on
staviti zakrpu	patch
rasuti	strew
krvniCki	violently
otoCni prostor	insular area
kinetski parametri	kinetic parameters
matriCni koder	matrix encoder
krekovanje	cracking
-stran	sided
spojna zatezaljka	connecting rod
cinka	pinchbeck
kratke ophodnje	short rotations
ispitno mjesto	test stand
oprema za zakljuCenje kanala (modem)	data circuit-terminating equipment
novinar	reporter
posebno zaraDen novac	extra money
udari	punched
gubici nafte prigodom skladiStenja	outage
pronaGi Sto	find what
treGa etapa emu	third stage of emu
u tome	therein
sukrviCan	serous
osiguravanje	securing
kretanje kapitala	movement of capital
binarni	scale-of-two
bljedunjavo	lymphatically
premodulacija	overmodulation
koristi koje ima bilo koja od stranaka	benefits accruing to any party
gumirati	rubber
Stit na kapi	visor
rohav	pock marked
investiranje	investment
komprimiranje kljuca	key compression
nagradna igra	winning game
neosporan	unquestionable
samoimpulsni	self-pulse
objavljivanje rezultata poslovanja	publication of accounts
koji pati	afflicted
prividnost	simulacrum
ispomoG	dole
sluCajnost	occurrence
nakostruSen	bristled
lepeza	wafter
podruCje odgovornosti	area of responsibility
optiCko pojaCanjeoptical isolator	optical gain
